LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
26610,Swan Hill (RC),VIC,278427,8851,2996,27.7,11301,14365,252761,2454,528,14
26670,Towong (S),VIC,8103,3065,1387,41.7,5565,2280,258,1277,109,1
26700,Wangaratta (RC),VIC,27272,14340,4942,32.1,19539,7293,440,4597,343,2
26730,Warrnambool (C),VIC,14852,16250,2586,14.9,10095,4504,253,2416,169,1
26810,Wellington (S),VIC,38245,23036,6728,27.1,25046,12292,907,6237,489,2
26890,West Wimmera (S),VIC,3063,2231,599,24.8,2269,794,0,554,45,0
26980,Whitehorse (C),VIC,53442,64448,11070,16.5,41861,9641,1940,10620,447,3
27070,Whittlesea (C),VIC,114528,84668,20818,23.5,91419,20474,2635,19937,872,9
27170,Wodonga (C),VIC,35143,18882,5879,28.9,24796,8786,1561,5461,411,7
27260,Wyndham (C),VIC,188315,94396,33433,34.5,154768,25259,8288,32524,886,23
27350,Yarra (C),VIC,16338,23718,2904,11.4,9409,5149,1780,2704,195,5
27450,Yarra Ranges (S),VIC,79391,62041,14859,22.4,57230,20890,1271,13922,933,4
27630,Yarriambiack (S),VIC,5736,3383,1117,31,4182,1554,0,1048,69,0
29399,Unincorporated Vic,VIC,1037,657,213,29.9,742,295,0,196,17,0
30250,Aurukun (S),QLD,240,443,12,1.2,32,208,0,5,7,0
30300,Balonne (S),QLD,5270,2108,735,29,2700,2570,0,611,124,0
30370,Banana (S),QLD,11787,6700,2086,28.7,8359,3428,0,1921,165,0
30410,Barcaldine (R),QLD,38869,1545,446,23.3,1607,1364,35898,360,83,3
30450,Barcoo (S),QLD,258,173,34,16.1,124,134,0,28,6,0
30760,Blackall-Tambo (R),QLD,1844,991,266,22.4,981,863,0,222,44,0
30900,Boulia (S),QLD,782,247,102,35.1,393,389,0,87,15,0
31000,Brisbane (C),QLD,871106,370038,160881,40.2,619301,217402,34403,148788,12037,56
31750,Bulloo (S),QLD,3177,166,122,37.1,312,2865,0,61,61,0
31820,Bundaberg (R),QLD,179350,44558,20904,44.4,78828,22031,78491,19790,1105,9
31900,Burdekin (S),QLD,286232,7678,3779,42.1,14707,12957,258568,3235,542,2
31950,Burke (S),QLD,239,91,14,8,30,209,0,7,7,0
32080,Cairns (R),QLD,152034,60441,23332,34.1,95728,49710,6596,20600,2719,13
32250,Carpentaria (S),QLD,7120,1183,200,11.9,718,1442,4960,141,58,1
32260,Cassowary Coast (R),QLD,28729,13768,4280,27.1,17364,11365,0,3736,544,0
32270,Central Highlands (R) (Qld),QLD,240325,12128,3511,25.1,14589,9077,216659,3050,455,6
32310,Charters Towers (R),QLD,9347,5738,1619,25.7,6541,2806,0,1473,146,0
32330,Cherbourg (S),QLD,970,535,169,29.1,655,315,0,156,13,0
32450,Cloncurry (S),QLD,2293,1549,273,13.4,1028,1265,0,207,66,0
32500,Cook (S),QLD,17196,2108,362,14.5,1397,1145,14654,306,54,2
32600,Croydon (S),QLD,266,152,39,21.5,147,119,0,33,6,0
32750,Diamantina (S),QLD,661,275,66,19.4,261,400,0,53,13,0
32770,Doomadgee (S),QLD,991,367,56,6.4,95,896,0,24,32,0
32810,Douglas (S),QLD,13335,5884,2143,32.1,8918,4417,0,1891,252,0
33100,Etheridge (S),QLD,63902,419,107,21.5,406,328,63168,90,16,1
33200,Flinders (S) (Qld),QLD,41693,742,291,30.7,1147,1018,39528,228,61,2
33220,Fraser Coast (R),QLD,213347,50994,24994,47.1,97615,18492,97240,24013,976,5
33360,Gladstone (R),QLD,58603,29899,11115,35,46103,11416,1084,10476,637,2
33430,Gold Coast (C),QLD,525913,197727,92588,42.4,360991,142017,22905,83755,8800,33
33610,Goondiwindi (R),QLD,10426,4811,1550,28.6,6005,3723,698,1374,175,1
33620,Gympie (R),QLD,66312,24844,13149,49.5,50690,14485,1137,12308,839,2
33800,Hinchinbrook (S),QLD,9472,5450,1872,32.1,7255,2217,0,1750,122,0
33830,Hope Vale (S),QLD,670,523,99,16.2,386,284,0,85,14,0
33960,Ipswich (C),QLD,202182,83428,38867,43.5,155477,40581,6124,36253,2601,13
33980,Isaac (R),QLD,217800,10438,1435,12,6141,3686,207973,1256,175,4
34420,Kowanyama (S),QLD,177,329,9,1.2,23,154,0,4,5,0
34530,Livingstone (S),QLD,34594,17220,7058,38.8,28228,6192,174,6685,372,1
34570,Lockhart River (S),QLD,135,250,7,1.2,18,117,0,3,4,0
34580,Lockyer Valley (R),QLD,54485,16115,9218,51.9,35219,15538,3728,8370,846,2
34590,Logan (C),QLD,339750,116991,62475,48.9,239671,91153,8926,57196,5266,13
34710,Longreach (R),QLD,21437,2258,491,18,1952,2001,17484,406,83,2
34770,Mackay (R),QLD,110651,53621,18279,31.3,78901,30565,1185,16785,1489,5
34800,McKinlay (S),QLD,4090,421,111,18.2,375,583,3132,76,34,1
34830,Mapoon (S),QLD,11,143,1,0.5,4,7,0,1,0,0
34860,Maranoa (R),QLD,13167,6933,2517,32.4,8050,5117,0,2248,269,0
34880,Mareeba (S),QLD,24451,10235,3651,30.9,13757,10694,0,3167,484,0
35010,Moreton Bay (R),QLD,467092,176092,92541,49.2,364736,94945,7411,86619,5904,18
35250,Mornington (S),QLD,225,399,13,1.4,34,191,0,6,7,0
35300,Mount Isa (C),QLD,14757,7795,2061,22.7,7654,6903,200,1767,293,1
35600,Murweh (S),QLD,4453,2219,638,25.6,2511,1184,758,568,69,1
35670,Napranum (S),QLD,37,499,4,0.5,14,23,0,3,1,0
35740,Noosa (S),QLD,70432,25074,13170,48.2,51036,18699,697,12089,1078,3
35760,North Burnett (R),QLD,10946,5606,1881,30.8,6688,4258,0,1727,154,0
35780,Northern Peninsula Area (R),QLD,404,1197,25,1,75,329,0,12,13,0
